City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Port Elizabeth,-33.918,25.5701,61.09,scattered clouds,94,40,10.36,ZA
1,Hobart,-42.8794,147.3294,57.02,broken clouds,88,75,9.22,AU
2,Wilmington,34.2257,-77.9447,77.95,clear sky,72,1,8.05,US
3,Busselton,-33.65,115.3333,44.1,clear sky,86,0,10.31,AU
4,Uruguaiana,-29.7547,-57.0883,64.33,light rain,88,75,17.27,BR
5,Borogontsy,62.6683,131.1683,14.76,overcast clouds,98,85,3.6,RU
6,Mancio Lima,-7.6142,-72.8958,95.07,scattered clouds,52,40,5.75,BR
7,Grindavik,63.8424,-22.4338,37.87,scattered clouds,75,40,25.32,IS
8,Brisbane,-27.4679,153.0281,67.15,moderate rain,87,75,1.99,AU
9,Albany,42.6001,-73.9662,69.31,broken clouds,83,61,2.55,US
10,Hilo,19.7297,-155.09,80.33,light rain,83,90,9.22,US
11,Yellowknife,62.456,-114.3525,47.41,scattered clouds,86,49,14.56,CA
12,Sao Filipe,14.8961,-24.4956,79.65,clear sky,68,3,12.35,CV
13,Kaitangata,-46.2817,169.8464,49.26,overcast clouds,69,96,8.23,NZ
14,Banda Aceh,5.5577,95.3222,79.79,overcast clouds,79,100,15.84,ID
15,Cape Town,-33.9258,18.4232,61.27,moderate rain,86,75,5.01,ZA
16,Nishihara,26.1842,127.7558,80.65,scattered clouds,81,40,5.75,JP
17,Severo-Kurilsk,50.6789,156.125,46.94,overcast clouds,84,100,12.77,RU
18,Geraldton,-28.7667,114.6,55.81,clear sky,62,10,11.5,AU
19,Imbituba,-28.24,-48.6703,71.49,overcast clouds,94,100,17.0,BR
20,Bengkulu,-3.8004,102.2655,75.33,light rain,92,100,3.38,ID
21,Katsuura,35.1333,140.3,65.19,overcast clouds,90,100,15.43,JP
22,Mataura,-46.1927,168.8643,49.41,overcast clouds,66,96,4.83,NZ
23,Punta Arenas,-53.15,-70.9167,48.31,broken clouds,46,75,19.57,CL
24,Cherskiy,68.75,161.3,-5.76,scattered clouds,95,31,3.15,RU
25,Dryden,49.7833,-92.7503,51.87,overcast clouds,91,100,14.67,CA
26,Ust-Tsilma,65.441,52.1498,43.21,overcast clouds,84,100,8.63,RU
27,New Norfolk,-42.7826,147.0587,56.66,overcast clouds,80,100,3.71,AU
28,Tuktoyaktuk,69.4541,-133.0374,31.57,light snow,97,100,14.38,CA
29,Haines Junction,60.7522,-137.5108,36.28,light rain,94,100,0.54,CA
30,Pevek,69.7008,170.3133,18.28,overcast clouds,91,98,4.43,RU
31,Hambantota,6.1241,81.1185,77.34,clear sky,100,0,11.5,LK
32,Provideniya,64.3833,-173.3,32.11,clear sky,59,0,11.18,RU
33,Port Hedland,-20.3167,118.5667,62.65,clear sky,63,3,3.44,AU
34,Hongjiang,27.11,109.9956,59.81,overcast clouds,80,100,2.77,CN
35,Vaini,-21.2,-175.2,77.16,broken clouds,73,75,10.36,TO
36,Ternate,0.8,127.4,81.48,overcast clouds,81,93,4.7,ID
37,Kangaatsiaq,68.3065,-53.4641,39.79,overcast clouds,78,100,43.58,GL
38,Ushuaia,-54.8,-68.3,40.66,moderate rain,81,75,23.02,AR
