City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Elizabeth,ZA,61.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
2,Wilmington,US,77.95,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
4,Uruguaiana,BR,64.33,light rain,-29.7547,-57.0883,Fares Turis Hotel
8,Brisbane,AU,67.15,moderate rain,-27.4679,153.0281,Royal On The Park Brisbane
10,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
12,Sao Filipe,CV,79.65,clear sky,14.8961,-24.4956,Hotel Xaguate
14,Banda Aceh,ID,79.79,overcast clouds,5.5577,95.3222,Sulthan Hotel International
15,Cape Town,ZA,61.27,moderate rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
16,Nishihara,JP,80.65,scattered clouds,26.1842,127.7558,Minshuku Agaihama
19,Imbituba,BR,71.49,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
20,Bengkulu,ID,75.33,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
21,Katsuura,JP,65.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
31,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
33,Port Hedland,AU,62.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
35,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
36,Ternate,ID,81.48,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
39,Charters Towers,AU,79.41,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
42,Jamestown,US,69.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
43,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
44,Port Macquarie,AU,67.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
45,Plettenberg Bay,ZA,62.71,broken clouds,-34.0527,23.3716,Thanda Vista B&B
48,Butaritari,KI,81.7,clear sky,3.0707,172.7902,Isles Sunset Lodge
54,Rikitea,PF,74.48,overcast clouds,-23.1203,-134.9692,People ThankYou
56,Chuy,UY,63.57,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
58,Port Alfred,ZA,65.26,broken clouds,-33.5906,26.891,The Halyards Hotel
60,Carutapera,BR,80.37,few clouds,-1.195,-46.02,Lidera
62,Atuona,PF,77.77,clear sky,-9.8,-139.0333,Villa Enata
63,Sal Rei,CV,77.56,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
64,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
66,Half Moon Bay,US,70.41,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
67,Luganville,VU,83.48,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
68,Adeje,ES,70.88,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
70,Acarau,BR,78.84,scattered clouds,-2.8856,-40.12,castelo pizzaria
74,Mineral Wells,US,73.81,light rain,32.8085,-98.1128,The Baker Hotel and Spa
77,Feira De Santana,BR,77.41,broken clouds,-12.2667,-38.9667,Hotel Paraiso
80,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Hithadhoo,MV,83.3,broken clouds,-0.6,73.0833,Scoop Guest House
87,Rawson,AR,68.29,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
91,Castro,BR,63.99,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
94,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
96,Samarai,PG,81.57,overcast clouds,-10.6167,150.6667,Nuli Sapi
97,Vikindu,TZ,76.64,few clouds,-7.0067,39.2985,RUTA GUEST HOUSE
98,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
99,Axim,GH,78.26,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
100,Bredasdorp,ZA,63.72,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
101,Airai,TL,62.28,overcast clouds,-8.9266,125.4092,Juvinal Martin
104,East London,ZA,68.59,overcast clouds,-33.0153,27.9116,Tu Casa
105,Eureka,US,61.41,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
106,Trincomalee,LK,81.12,overcast clouds,8.5711,81.2335,Welcombe Hotel
108,Luena,AO,68.0,clear sky,-11.7833,19.9167,Hotel Kandamba
109,Mar Del Plata,AR,64.09,light intensity drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
110,Hasaki,JP,61.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
112,San Jose,US,71.46,broken clouds,37.3394,-121.895,The Westin San Jose
115,Alta Floresta,BR,76.93,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
118,Tabuk,PH,74.32,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
120,Nizwa,OM,79.11,clear sky,22.9333,57.5333,Orient Apartments
121,Chapais,CA,62.76,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
122,Andapa,MG,66.63,overcast clouds,-14.65,49.65,Ramanandraibe Andapa
123,Grand Gaube,MU,70.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
125,Tiarei,PF,84.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
126,Moron,AR,64.96,light rain,-34.6534,-58.6198,Hotel Morón
128,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
129,San Quintin,MX,69.66,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
130,Cap Malheureux,MU,70.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
131,Lompoc,US,78.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
132,Arraial Do Cabo,BR,71.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
134,Tucuman,AR,87.8,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
135,Ambikapur,IN,67.84,scattered clouds,23.1167,83.2,STARiHOTEL Ambikapur
136,Saint George,US,63.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
139,Saldanha,ZA,60.85,light rain,-33.0117,17.9442,Blue Bay Lodge
140,Kadoma,JP,69.78,scattered clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
147,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
150,Vredendal,ZA,62.02,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
153,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
155,Papetoai,PF,83.79,overcast clouds,-17.4961,-149.8729,Fare Vaihere
156,Mount Isa,AU,71.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
158,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
159,Quatre Cocos,MU,70.09,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
162,Cilegon,ID,78.69,overcast clouds,-6.0174,106.0538,Amaris Hotel Cilegon
163,Sulangan,PH,82.9,overcast clouds,11.1373,123.7228,Maia's Beach Resort
165,Bilma,NE,82.4,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
166,Namatanai,PG,84.49,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
167,Utiel,ES,60.89,few clouds,39.5667,-1.2,Hotel Restaurante El Tollo
168,Umm Lajj,SA,88.12,clear sky,25.0213,37.2685,Moon light Furnished Units
169,Eufaula,US,84.63,clear sky,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
170,Aljezur,PT,65.5,scattered clouds,37.3191,-8.8033,Amazigh Hostel
172,Santa Isabel,BR,70.9,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
173,Warri,NG,75.52,overcast clouds,5.5167,5.75,BON Hotel Delta
176,Victoria,HK,81.25,broken clouds,22.2855,114.1577,Mini Hotel Central
179,Matara,LK,78.26,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
180,Sabang,ID,81.81,light rain,5.8933,95.3214,Hotel Citra
